player,player_url,team,scorito_position,raw_position,group_goals,group_goal_matches,team_completed_group_goals,player_goal_share_uncapped,position_share_cap,player_goal_share,carryover_boost,projected_knockout_matches,path_team_xg,path_adjusted_team_xg,avg_path_ease_xg,avg_path_elo_diff,avg_opponent_goals_against_per_match,avg_opponent_clean_sheet_rate,avg_opponent_defense_factor,path_ease_score,projected_opponent_path,projected_last_round,expected_scorito_points,expected_knockout_goals,top5_scorito_probability,top5_raw_goal_probability,recommended_rank,selection_reason
Lionel Messi,https://en.wikipedia.org/wiki/Lionel_Messi,Argentina,Aanvaller,Forward,3,3,8.0,0.356,0.62,0.356,1.21856449001619,5,9.07,8.619894666666667,1.7239789333333335,172.028,0.6,0.5333333333333333,0.9494666666666667,1.8799375999999999,Cape Verde -> Australia -> Switzerland -> Brazil -> Portugal,Match for third place,144.91411161993742,4.487265032710631,0.59625,0.7854,1,"3 group goals, Aanvaller, 5 projected knockout matches, 8.6 adjusted team xG path"
Vinícius Júnior,https://en.wikipedia.org/wiki/Vin%C3%ADcius_J%C3%BAnior,Brazil,Aanvaller,Forward left winger,3,3,7.0,0.39555555555555555,0.62,0.39555555555555555,1.21856449001619,5,7.598,7.177359333333333,1.4354718666666666,59.84400000000001,0.5333333333333333,0.6,0.9442666666666666,1.4131545333333335,Japan -> Ivory Coast -> Mexico -> Argentina -> France,Final,134.90237618609007,4.151470369045752,0.53515,0.7285,2,"3 group goals, Aanvaller, 5 projected knockout matches, 7.2 adjusted team xG path"
Matheus Cunha,https://en.wikipedia.org/wiki/Matheus_Cunha,Brazil,Aanvaller,Forward attacking midfielder winger,2,2,7.0,0.28444444444444444,0.62,0.28444444444444444,1.640689585643714,5,7.598,7.177359333333333,1.4354718666666666,59.84400000000001,0.5333333333333333,0.6,0.9442666666666666,1.4131545333333335,Japan -> Ivory Coast -> Mexico -> Argentina -> France,Final,119.72887699536784,3.684522832123728,0.45115,0.6745,3,"2 group goals, Aanvaller, 5 projected knockout matches, 7.2 adjusted team xG path"
Nuno Mendes,"https://en.wikipedia.org/wiki/Nuno_Mendes_(footballer,_born_2002)",Portugal,Keeper / Verdediger,Left-back,1,1,6.0,0.14250000000000002,0.18,0.14250000000000002,0.8774340936287486,5,6.721,6.475380666666666,1.2950761333333334,-22.006,0.8,0.5333333333333333,0.9590666666666667,1.1799838,Croatia -> Spain -> United States -> France -> Argentina,Match for third place,106.58747596771224,0.8096450666774848,0.3678,0.02075,4,"1 group goals, Keeper / Verdediger, 5 projected knockout matches, 6.5 adjusted team xG path"
Kylian Mbappé,https://en.wikipedia.org/wiki/Kylian_Mbapp%C3%A9,France,Aanvaller,Forward,2,2,10.0,0.21333333333333335,0.62,0.21333333333333335,1.640689585643714,5,8.433,8.329142,1.6658283999999999,127.774,1.1333333333333333,0.26666666666666666,0.9830666666666665,1.8220727333333333,Sweden -> Germany -> Netherlands -> Portugal -> Brazil,Final,103.36791632494423,3.206845907290117,0.3468,0.55575,5,"2 group goals, Aanvaller, 5 projected knockout matches, 8.3 adjusted team xG path"
Daniel Muñoz,https://en.wikipedia.org/wiki/Daniel_Mu%C3%B1oz_(footballer),Colombia,Keeper / Verdediger,Right-back right wing-back,2,2,4.0,0.3566666666666667,0.18,0.18,1.640689585643714,2,3.37,3.251114666666666,1.625557333333333,128.465,0.8333333333333333,0.3333333333333333,0.9666666666666666,1.7495048333333332,Ghana -> Switzerland,Round of 16,101.39000209113982,1.0561458551160399,0.32555,0.07635,6,"2 group goals, Keeper / Verdediger, 2 projected knockout matches, 3.3 adjusted team xG path"
Johan Manzambi,https://en.wikipedia.org/wiki/Johan_Manzambi,Switzerland,Middenvelder,Midfielder,2,2,7.0,0.26,0.38,0.26,1.640689585643714,3,3.7880000000000003,3.703577333333333,1.2345257777777776,-61.23,1.0,0.4444444444444444,0.9713333333333333,1.0850418888888889,Algeria -> Colombia -> Argentina,Quarterfinals,90.83250881107207,1.7378563374818699,0.2825,0.14525,7,"2 group goals, Middenvelder, 3 projected knockout matches, 3.7 adjusted team xG path"
Jude Bellingham,https://en.wikipedia.org/wiki/Jude_Bellingham,England,Middenvelder,Midfielder [ 2 ],2,2,6.0,0.2925,0.38,0.2925,1.640689585643714,2,3.16,3.0010986666666666,1.5005493333333333,86.82000000000001,0.5,0.5,0.9456666666666667,1.5203626666666665,DR Congo -> Mexico,Round of 16,76.04426878792137,1.5842555997483618,0.2077,0.1626,8,"2 group goals, Middenvelder, 2 projected knockout matches, 3.0 adjusted team xG path"
Giovani Lo Celso,https://en.wikipedia.org/wiki/Giovani_Lo_Celso,Argentina,Middenvelder,Midfielder,1,1,8.0,0.134,0.38,0.134,0.8774340936287486,5,9.07,8.619894666666667,1.7239789333333335,172.028,0.6,0.5333333333333333,0.9494666666666667,1.8799375999999999,Cape Verde -> Australia -> Switzerland -> Brazil -> Portugal,Match for third place,65.46063530515428,1.0134941881789414,0.1805,0.05285,9,"1 group goals, Middenvelder, 5 projected knockout matches, 8.6 adjusted team xG path"
João Neves,https://en.wikipedia.org/wiki/Jo%C3%A3o_Neves,Portugal,Middenvelder,Midfielder,1,1,6.0,0.1675,0.38,0.1675,0.8774340936287486,5,6.721,6.475380666666666,1.2950761333333334,-22.006,0.8,0.5333333333333333,0.9590666666666667,1.1799838,Croatia -> Spain -> United States -> France -> Argentina,Match for third place,62.643516577515086,0.9516880608314295,0.1616,0.0286,10,"1 group goals, Middenvelder, 5 projected knockout matches, 6.5 adjusted team xG path"
