trial,matches_evaluated,exact_accuracy,toto_accuracy,scorito_points,points_per_match
1,115,0.043478260869565216,0.3565217391304348,5025,43.69565217391305
2,115,0.06956521739130435,0.41739130434782606,5895,51.26086956521739
3,115,0.0782608695652174,0.45217391304347826,6390,55.56521739130435
4,115,0.034782608695652174,0.3565217391304348,5205,45.26086956521739
5,115,0.06956521739130435,0.4434782608695652,6480,56.34782608695652
6,115,0.06956521739130435,0.391304347826087,5670,49.30434782608695
7,115,0.08695652173913043,0.33043478260869563,4905,42.65217391304348
8,115,0.02608695652173913,0.30434782608695654,4350,37.82608695652174
9,115,0.0782608695652174,0.4,5595,48.65217391304348
10,115,0.043478260869565216,0.3826086956521739,5385,46.82608695652174
11,115,0.08695652173913043,0.4,5985,52.04347826086956
12,115,0.05217391304347826,0.3565217391304348,5190,45.130434782608695
13,115,0.06956521739130435,0.3826086956521739,5610,48.78260869565217
14,115,0.05217391304347826,0.391304347826087,5655,49.17391304347826
15,115,0.11304347826086956,0.3739130434782609,5595,48.65217391304348
16,115,0.08695652173913043,0.3826086956521739,5940,51.65217391304348
17,115,0.09565217391304348,0.34782608695652173,5580,48.52173913043478
18,115,0.08695652173913043,0.2956521739130435,4410,38.34782608695652
19,115,0.09565217391304348,0.45217391304347826,6360,55.30434782608695
20,115,0.043478260869565216,0.2956521739130435,3870,33.65217391304348
21,115,0.06956521739130435,0.3217391304347826,4485,39.0
22,115,0.05217391304347826,0.26956521739130435,3960,34.43478260869565
23,115,0.11304347826086956,0.3739130434782609,5715,49.69565217391305
24,115,0.06086956521739131,0.3391304347826087,4950,43.04347826086956
25,115,0.06956521739130435,0.3391304347826087,5025,43.69565217391305
26,115,0.034782608695652174,0.28695652173913044,4185,36.391304347826086
27,115,0.06956521739130435,0.4,5880,51.130434782608695
28,115,0.06086956521739131,0.4,5910,51.391304347826086
29,115,0.0782608695652174,0.4434782608695652,6270,54.52173913043478
30,115,0.0782608695652174,0.3565217391304348,5100,44.34782608695652
31,115,0.034782608695652174,0.28695652173913044,3870,33.65217391304348
32,115,0.09565217391304348,0.3217391304347826,5145,44.73913043478261
33,115,0.05217391304347826,0.3739130434782609,5310,46.17391304347826
34,115,0.09565217391304348,0.3826086956521739,5955,51.78260869565217
35,115,0.09565217391304348,0.3391304347826087,5280,45.91304347826087
36,115,0.12173913043478261,0.4,5850,50.869565217391305
37,115,0.06086956521739131,0.3130434782608696,4335,37.69565217391305
38,115,0.06956521739130435,0.3826086956521739,5415,47.08695652173913
39,115,0.06086956521739131,0.3826086956521739,5565,48.391304347826086
40,115,0.06956521739130435,0.2956521739130435,4185,36.391304347826086
41,115,0.09565217391304348,0.34782608695652173,5040,43.82608695652174
42,115,0.06956521739130435,0.3217391304347826,4650,40.43478260869565
43,115,0.017391304347826087,0.3391304347826087,4680,40.69565217391305
44,115,0.06956521739130435,0.3739130434782609,5625,48.91304347826087
45,115,0.06086956521739131,0.33043478260869563,4605,40.04347826086956
46,115,0.06956521739130435,0.3652173913043478,5190,45.130434782608695
47,115,0.08695652173913043,0.3826086956521739,5595,48.65217391304348
48,115,0.06086956521739131,0.33043478260869563,4875,42.391304347826086
49,115,0.09565217391304348,0.3565217391304348,5490,47.73913043478261
50,115,0.09565217391304348,0.3826086956521739,5535,48.130434782608695
51,115,0.08695652173913043,0.33043478260869563,5250,45.65217391304348
52,115,0.08695652173913043,0.33043478260869563,5205,45.26086956521739
53,115,0.06956521739130435,0.3391304347826087,4920,42.78260869565217
54,115,0.06086956521739131,0.391304347826087,5310,46.17391304347826
55,115,0.08695652173913043,0.40869565217391307,5670,49.30434782608695
56,115,0.0782608695652174,0.3739130434782609,5520,48.0
57,115,0.06086956521739131,0.2608695652173913,4065,35.34782608695652
58,115,0.11304347826086956,0.3217391304347826,5505,47.869565217391305
59,115,0.06086956521739131,0.4,5820,50.608695652173914
60,115,0.06086956521739131,0.3130434782608696,4500,39.130434782608695
61,115,0.0782608695652174,0.41739130434782606,6015,52.30434782608695
62,115,0.05217391304347826,0.3391304347826087,5085,44.21739130434783
63,115,0.11304347826086956,0.4,5925,51.52173913043478
64,115,0.06956521739130435,0.26956521739130435,3960,34.43478260869565
65,115,0.14782608695652175,0.3826086956521739,6225,54.130434782608695
66,115,0.0782608695652174,0.41739130434782606,5955,51.78260869565217
67,115,0.0782608695652174,0.34782608695652173,5010,43.56521739130435
68,115,0.034782608695652174,0.3217391304347826,4470,38.869565217391305
69,115,0.09565217391304348,0.3826086956521739,5775,50.21739130434783
70,115,0.11304347826086956,0.3826086956521739,6030,52.43478260869565
71,115,0.034782608695652174,0.28695652173913044,4380,38.08695652173913
72,115,0.11304347826086956,0.34782608695652173,5385,46.82608695652174
73,115,0.09565217391304348,0.3826086956521739,5430,47.21739130434783
74,115,0.06086956521739131,0.34782608695652173,4905,42.65217391304348
75,115,0.12173913043478261,0.45217391304347826,6900,60.0
76,115,0.09565217391304348,0.28695652173913044,4395,38.21739130434783
77,115,0.08695652173913043,0.3826086956521739,5595,48.65217391304348
78,115,0.06956521739130435,0.3739130434782609,5190,45.130434782608695
79,115,0.0782608695652174,0.3652173913043478,5445,47.34782608695652
80,115,0.08695652173913043,0.34782608695652173,5325,46.30434782608695
81,115,0.1391304347826087,0.40869565217391307,6660,57.91304347826087
82,115,0.05217391304347826,0.30434782608695654,4680,40.69565217391305
83,115,0.043478260869565216,0.3652173913043478,4965,43.17391304347826
84,115,0.06086956521739131,0.391304347826087,5685,49.43478260869565
85,115,0.034782608695652174,0.3739130434782609,5220,45.391304347826086
86,115,0.06956521739130435,0.3130434782608696,4605,40.04347826086956
87,115,0.13043478260869565,0.40869565217391307,6315,54.91304347826087
88,115,0.0782608695652174,0.3565217391304348,5265,45.78260869565217
89,115,0.06086956521739131,0.3652173913043478,5385,46.82608695652174
90,115,0.06086956521739131,0.3130434782608696,4635,40.30434782608695
91,115,0.034782608695652174,0.34782608695652173,4620,40.17391304347826
